"time","singleChiller.singleChiller.mov.P","singleChiller.singleChiller.chillerWithHex2_1.chi.P","singleChiller.singleChiller.mov1.P","supplyTemp","returnTemp","storageTankWithPump.mov.P","total_power","total_energy"
0,0,1548233.90474615,0,293.15,288.15,0,1548233.90474615,0
30,63314.46628125548,0.0007517150726637925,64505.48104202364,292.1458928338943,289.8565606233244,64008.27622266516,191828.2242976594,26100931.93565714
60,63372.29465255608,0.0005639551326098255,64304.41996583662,292.8168574722734,291.8372304257665,64066.82386056867,191743.5390429165,31854508.38576578
90,63372.07123977629,0.0005709615717611055,63958.69847622116,292.9241238434589,294.5699279219896,64066.82386098602,191397.594147945,37601625.3836287
120,63369.54342135894,0.0005807708923987942,63536.0672725964,292.9567067960082,296.0695509061215,64066.82386098196,190972.4351357082,43337175.8228835
150,63369.520287783,0.0005844441772060347,63534.96275034493,292.9674439287284,295.5062526859219,64066.82386098196,190971.3074835541,49066331.96217243
180,63369.52028778302,0.0005850508612163889,63534.96275034813,292.983456845214,295.0469544672329,64066.82386098196,190971.307484164,54795471.18668821
210,63369.520287783,0.0005846885073390776,63534.96275034537,292.9978572252722,294.674255349133,64066.82386098196,190971.3074837989,60524610.41120765
240,63369.520287783,0.0005840701511644343,63534.9627503454,293.0110404351865,294.3717575529798,64066.82386098196,190971.3074831805,66253749.63571234
270,63369.520287783,0.0005834087547495999,63534.9627503454,293.0231132049479,294.1244665224586,64066.82386098196,190971.3074825191,71982888.86019784
300,63369.520287783,0.0005827663844187785,63534.9627503454,293.0341912646438,293.9193372532138,64066.82386098196,190971.3074818767,77712028.08466378
330,63369.520287783,0.0005821543136213758,63534.9627503454,293.044322060051,293.7522057540903,64066.82386098196,190971.3074812647,83441167.30911089
360,63369.520287783,0.0005815782063130238,63534.9627503454,293.0535763533096,293.6175623821715,64066.82386098196,190971.3074806886,89170306.53354019
390,63369.520287783,0.0005810488583502541,63534.9627503454,293.0620389143459,293.5084284173914,64066.82386098196,190971.3074801592,94899445.7579529
420,63369.520287783,0.0005805603419867228,63534.9627503454,293.069752877323,293.4225904870861,64066.82386098196,190971.3074796707,100628584.9823503
450,63369.520287783,0.0005801131193819918,63534.9627503454,293.0768426982991,293.3516105807147,64066.82386098196,190971.3074792235,106357724.2067338
480,63369.520287783,0.0005797070895676997,63534.9627503454,293.0832872603626,293.2969204061782,64066.82386098196,190971.3074788175,112086863.4311044
510,63369.520287783,0.00057934234556238,63534.9627503454,293.0891144956358,293.2566261903219,64066.82386098196,190971.3074784527,117816002.6554634
540,63369.520287783,0.0005790066575669261,63534.9627503454,293.0944495241651,293.2255890649852,64066.82386098196,190971.307478117,123545141.879812
570,63369.520287783,0.0005787024102119628,63534.9627503454,293.0993022597126,293.2025168882403,64066.82386098196,190971.3074778128,129274281.1041509
600,63369.520287783,0.0005784280025814297,63534.9627503454,293.1037140582926,293.1850676645287,64066.82386098196,190971.3074775384,135003420.3284812
630,63369.520287783,0.0005781799352108666,63534.9627503454,293.1077138367471,293.1735642767014,64066.82386098196,190971.3074772903,140732559.5528036
660,63369.520287783,0.0005779536935702022,63534.9627503454,293.1113196250122,293.1702432254796,64066.82386098196,190971.3074770641,146461698.777119
690,63369.520287783,0.0005777486724046939,63534.9627503454,293.1145913266892,293.1699807756726,64066.82386098196,190971.307476859,152190838.0014278
720,63369.520287783,0.0005775625979398576,63534.9627503454,293.1175709502335,293.170798665394,64066.82386098196,190971.307476673,157919977.2257308
750,63369.520287783,0.000577393197527302,63534.9627503454,293.1203005041005,293.1707186327579,64066.82386098196,190971.3074765036,163649116.4500284
780,63369.520287783,0.0005772381994787959,63534.9627503454,293.1228219967454,293.1677624158778,64066.82386098196,190971.3074763486,169378255.6743212
810,63369.520287783,0.0005770981118539287,63534.9627503454,293.1251023957583,293.1664270659184,64066.82386098196,190971.3074762085,175107394.8986095
840,63369.520287783,0.000576973499534543,63534.9627503454,293.1271071245999,293.1713428776996,64066.82386098196,190971.3074760839,180836534.1228939
870,63369.520287783,0.0005768599439095175,63534.9627503454,293.1289361956108,293.17552640566,64066.82386098196,190971.3074759703,186565673.3471747
900,63369.520287783,0.0005767556444507301,63534.9627503454,293.1306189429471,293.1780930594037,64066.82386098196,190971.307475866,192294812.5714523
930,63369.520287783,0.0005766588010104542,63534.9627503454,293.1321847007649,293.1781582485353,64066.82386098196,190971.3074757692,198023951.7957268
960,63369.520287783,0.0005765676137674499,63534.9627503454,293.1336628032204,293.1748373826589,64066.82386098196,190971.307475678,203753091.0199985
990,63369.520287783,0.0005764852863378977,63534.9627503454,293.1349969288661,293.1721729613443,64066.82386098196,190971.3074755956,209482230.2442676
1020,63369.520287783,0.0005764133567749655,63534.9627503454,293.1361592656759,293.1725675624332,64066.82386098196,190971.3074755237,215211369.4685344
1050,63369.520287783,0.0005763471086527003,63534.9627503454,293.1372290846733,293.1722641222072,64066.82386098196,190971.3074754575,220940508.6927991
1080,63369.520287783,0.0005762854705761248,63534.9627503454,293.1382232572626,293.1710949338778,64066.82386098196,190971.3074753958,226669647.9170619
1110,63369.520287783,0.0005762273712718372,63534.9627503454,293.1391586548485,293.1688922906568,64066.82386098196,190971.3074753377,232398787.1413229
1140,63369.520287783,0.0005761717395721176,63534.9627503454,293.1400521488355,293.1654884857559,64066.82386098196,190971.3074752821,238127926.3655822
1170,63369.520287783,0.0005761216777139416,63534.9627503454,293.140856405159,293.1624867397343,64066.82386098196,190971.3074752321,243857065.5898399
1200,63369.520287783,0.0005760777506343849,63534.9627503454,293.141563123281,293.1604136430618,64066.82386098196,190971.3074751881,249586204.8140962
1230,63369.520287783,0.0005760370724388959,63534.9627503454,293.1422170944987,293.1583313972114,64066.82386098196,190971.3074751474,255315344.0383513
1260,63369.520287783,0.0005759991035817012,63534.9627503454,293.1428270133662,293.1562978308271,64066.82386098196,190971.3074751095,261044483.2626051
1290,63369.520287783,0.0005759633045561725,63534.9627503454,293.1434015744375,293.1543707725527,64066.82386098196,190971.3074750737,266773622.4868579
1320,63369.520287783,0.0005759291358899416,63534.9627503454,293.1439494722666,293.1526080510321,64066.82386098196,190971.3074750395,272502761.7111096
1350,63369.520287783,0.0005758984356278932,63534.9627503454,293.1444417924974,293.1509525196115,64066.82386098196,190971.3074750088,278231900.9353603
1380,63369.520287783,0.000575871072555942,63534.9627503454,293.1448807712065,293.1494422625341,64066.82386098196,190971.3074749814,283961040.1596102
1410,63369.520287783,0.0005758457559911812,63534.9627503454,293.1452869864492,293.1481714378434,64066.82386098196,190971.3074749561,289690179.3838592
1440,63369.520287783,0.0005758222148898501,63534.9627503454,293.145664887264,293.1471848950937,64066.82386098196,190971.3074749326,295419318.6081076
1470,63369.520287783,0.0005758001782214077,63534.9627503454,293.1460189226897,293.1465274838399,64066.82386098196,190971.3074749105,301148457.8323552
1500,63369.520287783,0.0005757793749669016,63534.9627503454,293.1463535417647,293.1462440536363,64066.82386098196,190971.3074748897,306877597.0566022
1530,63369.520287783,0.0005757616626376239,63534.9627503454,293.1466377505649,293.1455872412248,64066.82386098196,190971.307474872,312606736.2808486
1560,63369.520287783,0.0005757464146383035,63534.9627503454,293.1468819186583,293.1447342304501,64066.82386098196,190971.3074748568,318335875.5050945
1590,63369.520287783,0.0005757326983146566,63534.9627503454,293.1471015123695,293.1439761266673,64066.82386098196,190971.3074748431,324065014.72934
1620,63369.520287783,0.000575720303216102,63534.9627503454,293.1472999724797,293.1433352430976,64066.82386098196,190971.3074748307,329794153.9535851
1650,63369.520287783,0.0005757090188979851,63534.9627503454,293.1474807397702,293.1428338929624,64066.82386098196,190971.3074748194,335523293.1778299
1680,63369.520287783,0.0005756986349206351,63534.9627503454,293.1476472550221,293.1424943894831,64066.82386098196,190971.307474809,341252432.4020743
1710,63369.520287783,0.0005756889408486237,63534.9627503454,293.1478029590166,293.1423390458812,64066.82386098196,190971.3074747993,346981571.6263185
1740,63369.520287783,0.0005756797262501354,63534.9627503454,293.1479512925349,293.1423901753778,64066.82386098196,190971.3074747901,352710710.8505623
1770,63369.520287783,0.0005756707806965319,63534.9627503454,293.1480956963581,293.1426700911946,64066.82386098196,190971.3074747811,358439850.0748059
1800,63369.520287783,0.0005756618937621047,63534.9627503454,293.1482396112676,293.1432011065527,64066.82386098196,190971.3074747723,364168989.2990491
1830,63369.520287783,0.0005756537159270295,63534.9627503454,293.1483723293456,293.143860864796,64066.82386098196,190971.3074747641,369898128.5232922
1860,63369.520287783,0.0005756505542551431,63534.9627503454,293.1484230475253,293.1439125387728,64066.82386098196,190971.3074747609,375627267.747535
1890,63369.520287783,0.0005756484681524437,63534.9627503454,293.1484565106761,293.1440052735509,64066.82386098196,190971.3074747588,381356406.9717779
1920,63369.520287783,0.0005756473879498413,63534.9627503454,293.1484738462952,293.1441377291165,64066.82386098196,190971.3074747577,387085546.1960206
1950,63369.520287783,0.0005756472439794971,63534.9627503454,293.14847618188,293.144308565456,64066.82386098196,190971.3074747576,392814685.4202634
1980,63369.520287783,0.0005756479665745808,63534.9627503454,293.1484646449279,293.1445164425556,64066.82386098196,190971.3074747583,398543824.6445061
2010,63369.520287783,0.000575649486069029,63534.9627503454,293.148440362936,293.1447600204017,64066.82386098196,190971.3074747598,404272963.8687488
2040,63369.520287783,0.0005756517327973628,63534.9627503454,293.1484044634017,293.1450379589805,64066.82386098196,190971.3074747621,410002103.0929917
2070,63369.520287783,0.000575654637094469,63534.9627503454,293.1483580738223,293.1453489182784,64066.82386098196,190971.307474765,415731242.3172346
2100,63369.520287783,0.0005756581292954279,63534.9627503454,293.1483023216952,293.1456915582816,64066.82386098196,190971.3074747685,421460381.5414776
2130,63369.520287783,0.0005756621397353818,63534.9627503454,293.1482383345174,293.1460645389764,64066.82386098196,190971.3074747725,427189520.7657207
2160,63369.520287783,0.0005756638133969592,63534.9627503454,293.1482117349373,293.146405195684,64066.82386098196,190971.3074747742,432918659.9899639
2190,63369.520287783,0.0005756630779551174,63534.9627503454,293.148223692846,293.1467121299621,64066.82386098196,190971.3074747734,438647799.2142071
2220,63369.520287783,0.0005756612821271498,63534.9627503454,293.1482526774803,293.1470152301492,64066.82386098196,190971.3074747717,444376938.4384503
2250,63369.520287783,0.000575658243626047,63534.9627503454,293.1483016154458,293.1473106766416,64066.82386098196,190971.3074747686,450106077.6626934
2280,63369.520287783,0.0005756537801671308,63534.9627503454,293.1483734333485,293.1475946498359,64066.82386098196,190971.3074747642,455835216.8869364
2310,63369.520287783,0.0005756477094689167,63534.9627503454,293.1484710577942,293.1478633301282,64066.82386098196,190971.3074747581,461564356.1111792
2340,63369.520287783,0.0005756398492541055,63534.9627503454,293.1485974153887,293.1481128979151,64066.82386098196,190971.3074747502,467293495.3354218
